Date,US Large-Cap Balanced,US Mid-Cap Balanced,US Small-Cap Balanced,US Large-Cap Value,US Small-Cap Value,US Real Estate,International Large-Cap,International Small-Cap,Emerging Markets,Treasury Short-Term,Gold
2010-03-31,0.031503199665548064,0.06387818621191688,0.05473506171700272,0.024962318538195385,0.06781488103337331,0.09264784210036184,-0.019476479697257815,0.011683182603317951,-0.02106719846449324,-9.074897724923881e-05,-0.013963971211812866
2010-06-30,-0.12235785081031486,-0.10542302634931688,-0.09920983518894023,-0.13130265227907942,-0.11836108777016818,-0.05385831335006365,-0.17951888279332218,-0.14057945375801853,-0.1250885346796852,0.00017774410725820386,0.11149546574045265
2010-09-30,0.08088392073645172,0.11923817422212292,0.0831304765397001,0.1078019116243351,0.07798823178706103,0.11896221205237682,0.17381858001872832,0.1739048330817634,0.19336536586251377,-1.936639902753591e-06,0.04762912916257046
2010-12-31,0.09250419909977842,0.12845926823289686,0.15438430576785356,0.08373918741263339,0.1513129805354639,0.05600088756567997,0.054363226572699375,0.09441945731536132,0.05783553900021432,-9.037005370100269e-05,0.08035649512140566
2011-03-31,0.04090584715915806,0.08408693151605671,0.06840523051699784,0.06752172125522722,0.0542868049129111,0.06223296725753656,0.02612320296274649,0.020657509414676343,0.015837124452645495,-0.00015764532237970454,0.003670863608188059
2011-06-30,-0.006890696703902395,-0.015359189348028619,-0.008635338087910682,-0.01830332771234121,-0.030840782745269486,0.028246753940167454,-0.005479590976392676,0.0009612919127683622,-0.028608891125652267,0.0002755247802057188,0.040706616356063
2011-09-30,-0.1375935168264535,-0.21412792303995942,-0.21504827870632037,-0.17153446718121443,-0.21627014776628278,-0.16698215402361768,-0.21885839113237626,-0.2120814374822167,-0.27642783881592525,-0.0002544099215163653,0.07231440997671115
2011-12-30,0.10652165604070915,0.11285968866344637,0.15515224902215816,0.1116540687818775,0.16580296478349235,0.13356905655797152,0.026662815239475546,-0.01500961156547206,0.06935099368449699,-0.0002434676969043061,-0.044814585638278934
2012-03-30,0.11808769440843549,0.12850067039145924,0.11285380676723447,0.06692838631412036,0.11984182111514294,0.08712098829581227,0.10301909445465396,0.14933968194274666,0.12530596120339724,-0.000412361355527709,0.06227364040849911
2012-06-29,-0.035250377113754894,-0.057562828371246176,-0.046144630605277105,-0.032636883372851394,-0.05999384461432433,0.01999064152857515,-0.09726390338625081,-0.10654294980937933,-0.09507409712889481,0.00013039641446549455,-0.04894055647089227
2012-09-28,0.04985376720267897,0.04413357390767522,0.04757042782224587,0.06038107794011566,0.05814159465542253,-0.013338182312333264,0.055313793767487525,0.06620453326809514,0.04833460856646432,5.326173741963442e-05,0.10608806558331528
2012-12-31,-0.0013210458785598272,0.026440269345242573,0.008961711530600778,-0.01829122553201399,0.019753364344121744,0.0054970732690239445,0.06876475535389547,0.04815152354670287,0.06909200527505104,0.0003304523108337692,-0.060752467921145
2013-03-29,0.1195866518248289,0.12786324309015387,0.11090998467997631,0.09348026113014521,0.10776666227070691,0.04698409455681637,0.03330685479582115,0.07611528716042551,-0.03934584305275885,-0.00030127510118539626,-0.05001584736873222
2013-06-28,0.04233102524123032,-0.001476279555514411,0.03187919829636672,0.024295056235446463,0.03337972693142782,-0.02832727414261708,-0.03389473536244296,-0.05125927605543903,-0.10624766007443763,-0.0001232806645445608,-0.2370382363292169
2013-09-30,0.027466071171303726,0.07095957946522014,0.10122306891893539,0.006242081514844735,0.09013943124268112,-0.052020502097929154,0.10940717703082757,0.1524715885869155,0.05185012325656101,0.0003205801665753701,0.06849143573661251
2013-12-31,0.08296763597704036,0.0741722549054632,0.08919950418189071,0.09218132267676211,0.08445529897839985,-0.03283025040032346,0.04847032434164713,0.04765695205501472,0.02022684842343594,-0.0001327361319252544,-0.09954991757696327
2014-03-31,0.021948604977284604,0.022843505067323754,0.0044369013482812684,0.012005994270420196,0.015297828580012631,0.09692929519022254,-0.003285683502745108,0.019241036514391328,-0.02533609154417241,0.00013645111360218067,0.06035729594118493
2014-06-30,0.026680288139305827,0.037240367667617284,0.012973704448892093,0.035459355456263164,0.013125631794824353,0.05883294716651178,0.014518972923572657,0.010629382132726597,0.050616234853389515,-3.789525278461704e-05,0.03152307105249193
2014-09-30,0.00919818077102899,-0.0474359145535791,-0.07324226602554744,-0.0041527724894071345,-0.0741326845351155,-0.03643118879430291,-0.0652333506051722,-0.08645772276673101,-0.04301869979201703,-0.00021807594586490146,-0.09502040581737958
2014-12-31,0.06831622519446291,0.05425822834497545,0.08820659464436427,0.014439539803309434,0.09417054928032716,0.1425963757415142,-0.05579311760164086,-0.04110520038175408,-0.0599231533475447,-4.742706539014514e-05,-0.028429790817047065
2015-03-31,-0.02235442555996711,0.045261822497600676,0.030003529600996975,-0.03270346823343428,0.003301788363821425,0.03833422154546739,0.049721218783617856,0.05484998490406378,0.015412733468390439,0.00013498266443107506,-0.004170303538724906
2015-06-30,-0.007290181419859135,-0.016397905830011217,-0.005011963665934923,-0.001732263895548417,-0.013228375807122716,-0.11878649850028257,-0.0152011910637819,0.027226620184043506,-0.017503408672099454,0.0001443815483613481,-0.013557545464609362
2015-09-30,-0.08043378732201409,-0.09514018746855088,-0.10163712623537303,-0.08673034522017938,-0.1156465723962064,0.02732774398794431,-0.10398413948019428,-0.06983103096433152,-0.18134440126424506,0.0001269947426338485,-0.05343756332942546
2015-12-31,0.05970324227410909,0.015135247869095318,0.027931074331106427,0.05453551731608538,0.026544385582221018,0.06615356948460674,0.02000035270105794,0.041826995011148525,-0.02443355056004816,-0.0008719301572844166,-0.055566662509467526
2016-03-31,-0.005614131226325229,0.02842177312340862,0.01531105442944911,0.020685502372172544,0.04054766113489762,0.032869562324492764,-0.033205895126169296,-0.008896198195251021,0.05553253959274568,0.0011979794703401048,0.15496904085172739
2016-06-30,0.026863221496844673,0.030667051114969725,0.026493412293079263,0.029292623382034665,0.025171476674934735,0.04453149742287279,-0.03151110868762457,-0.03851441094759323,-0.0041055855355258495,0.0007396045160027886,0.0684038686687609
2016-09-30,0.04174543681312014,0.03170137841589005,0.06412929051993156,0.01311870145724548,0.06365015566850941,-0.0351944006278627,0.05528289075973919,0.08188515876449369,0.08434658050605544,-0.0002691389973636326,-0.009234963875641475
2016-12-30,0.031933982586496656,0.06507513203790286,0.10264943575053288,0.06473049597932168,0.11669083284625333,-0.05594180560924575,-0.026683636309753733,-0.05173522400254436,-0.07117386964524701,-0.0013030748876946248,-0.13103759909829127
2017-03-31,0.06725703761663242,0.0320668273524104,0.0013576430717364037,0.019588793537959313,-0.014360290153486003,-0.002525397440176982,0.07661852631900434,0.08410678862211603,0.12122375941693468,0.00026569820249917344,0.08070748850721779
2017-06-30,0.029574386188917022,0.012580427524234742,0.009596766582696595,-0.004671336282196667,0.004201745961065765,0.010907364598637725,0.04335190524093911,0.06531129308870737,0.046853771457868544,-0.00017359416707389888,-0.00891046571883851
2017-09-29,0.027259537188563342,0.02544969280307305,0.055029312111326285,0.035319826690227124,0.05708541491902804,-0.008304751936775746,0.04809141259435035,0.06977800825050465,0.07887573203086284,0.0005123578975188472,0.027593496361801806
2017-12-29,0.04888606821124366,0.056169216836163924,0.034400272830185624,0.044105510529521746,0.03528435528975258,0.018832760917139545,0.017817317653585765,0.020807992603876096,0.018983343173400325,-0.0014671040141750011,-0.003637150771850984
